symbol,exchange,exchangeSuffix,exchangeName,exchangeSegment,exchangeSegmentName,name,date,type,iexId,region,currency,isEnabled,figi,cik,lei
221800.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,U2Bio Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG009H6FGV2,,
221840.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Hizeaero Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG00BC2XPJ5,,
221980.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,KDChem Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG00BC9XJ86,,
222040.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Cosmax Nbt Inc.,2023-02-08,cs,,KR,KRW,True,BBG00BDPLCP8,,988400DURGR1T8EGX880
222080.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Creative & Innovative System Corporation,2023-02-08,cs,,KR,KRW,True,BBG009PT5LW2,,
222110.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,PanGen Biotech Inc.,2023-02-08,cs,,KR,KRW,True,BBG00B9WQHZ1,,
222160.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Bioptro Inc.,2023-02-08,cs,,KR,KRW,True,BBG00CDXB183,,
222420.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Cenotec Co. Ltd,2023-02-08,cs,,KR,KRW,True,BBG009JHKMB9,,
222670.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Plumbline Life Sciences Inc,2023-02-08,cs,,KR,KRW,True,BBG009NZG3Q5,,
222800.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Simmtech Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG0085YRGT6,,
